"GEOID","agecat","sex","deaths","expected"
"25017341800","Age30-34","Female",0,2.12019711476054
"25017341800","Age30-34","Male",5,1.54010926651628
"25017341800","Age35-44","Female",1,3.631458519658
"25017341800","Age35-44","Male",6,4.21826780667549
"25017341800","Age45-54","Female",9,7.36914900001176
"25017341800","Age45-54","Male",12,5.50162493836494
"25017341800","Age5-9","Female",0,0.106329996433396
"25017341800","Age5-9","Male",0,0.0617920922518614
"25017341800","Age55-64","Female",14,11.4348790441829
"25017341800","Age55-64","Male",25,10.0460273384117
"25017341800","Age65-74","Female",18,14.8782521788072
"25017341800","Age65-74","Male",22,13.5935838179865
"25017341800","Age75-84","Female",26,42.8088566429726
"25017341800","Age75-84","Male",28,39.885324969794
"25017341800","Age85+","Female",39,20.6958151582121
"25017341800","Age85+","Male",16,3.61135029606386
"25017341901","Age0-4","Female",0,0.0795901768884743
"25017341901","Age0-4","Male",0,0.288849743089631
"25017341901","Age10-14","Female",0,0.033124167482467
"25017341901","Age10-14","Male",0,0.0258060374572708
"25017341901","Age15-19","Female",0,0.0395954532627114
"25017341901","Age15-19","Male",0,0.0259418486893627
"25017341901","Age20-24","Female",0,0.18518930939515
"25017341901","Age20-24","Male",0,0.170451059858511
